-58.404	0.74252
-61.373	0.54605
-66.49	0.61667
-64.448	0.61455
-64.334	0.53547
-64.061	0.23945
-63.697	0.59628
-65.623	0.58925
-67.002	0.089465
-68.225	0.45009
-67.977	0.91066
-74.911	0.30194
-76.512	0.7671
-74.186	0.49157
-67.888	0.74432
-69.522	0.69714
-80.934	0.78247
-72.464	0.54314
-66.098	0.43195
-66.262	0.45339
-63.145	0.37164
-60.054	0.6569
-64.033	0.51007
-67.716	0.49557
-73.502	0.79915
-67.736	0.51824
-71.451	0.76432
-79.182	1.2257
-74.73	1.1741
-71.938	0.30041
-66.583	0.5809
-68.54	0.66245
-70.515	0.72131
-65.07	0.65386
-62.933	0.32033
-63.144	0.35692
