97,t2_4in
91,t2_8in
86,t2_12in
82.3,t2_16in
81.4,t2_20in
84.7,t2_24in
83.5,t3_4in+4
82,t3_4in+3
80.4,t3_4in+2
79.3,t3_4in+1
77.2,t3_4in
70.7,t3_8in
65,t3_12in
61.5,t3_16in
61.5,t3_20in
64.2,t3_24in
